actual,proposed
-0.3736717700958252,-0.3568284213542938
-0.38925623893737793,-0.36103925108909607
-0.3903938829898834,-0.36809349060058594
-0.39210036396980286,-0.3736686110496521
-0.34205591678619385,-0.378276526927948
-0.34304556250572205,-0.36922138929367065
-0.37187525629997253,-0.3626774251461029
-0.37187525629997253,-0.3649768829345703
-0.3724116384983063,-0.36670148372650146
-0.3724116384983063,-0.36812901496887207
-0.3729480504989624,-0.36919966340065
-0.3729480504989624,-0.3701367676258087
-0.3574502468109131,-0.37083959579467773
-0.3579636216163635,-0.3674922585487366
-0.3579636216163635,-0.3651100993156433
-0.3589903712272644,-0.36332347989082336
-0.3600171208381653,-0.362240195274353
-0.3705211281776428,-0.3616844415664673
-0.3715732991695404,-0.3638935983181
-0.3726254999637604,-0.3658135235309601
-0.37420374155044556,-0.36751651763916016
-0.37578198313713074,-0.3691883385181427
-0.43392235040664673,-0.3708367347717285
-0.4363417327404022,-0.38660815358161926
-0.43876105546951294,-0.3990415334701538
-0.44118040800094604,-0.4089713990688324
-0.4429948329925537,-0.4170236587524414
-0.4715675711631775,-0.4235164523124695
-0.47349098324775696,-0.4355292320251465
-0.42240166664123535,-0.4450196623802185
-0.4246774911880493,-0.4393651783466339
-0.4263843595981598,-0.43569326400756836
-0.4705367386341095,-0.4333660304546356
-0.473034530878067,-0.4426586925983429
-0.4761567711830139,-0.4502526521682739
-0.4786545932292938,-0.4567286968231201
-0.48115232586860657,-0.46221017837524414
-0.4836500585079193,-0.46694570779800415
-0.5393638610839844,-0.47112178802490234
-0.5435143709182739,-0.48818230628967285
-0.5462813377380371,-0.5020153522491455
-0.5497400164604187,-0.5130818486213684
-0.5538904070854187,-0.5222463607788086
-0.5959321856498718,-0.5301573872566223
-0.5996295809745789,-0.5466011166572571
-0.6025874018669128,-0.5598582029342651
-0.6062847375869751,-0.5705404877662659
-0.6092424988746643,-0.5794765949249268
-0.6583497524261475,-0.5869180560112
-0.6615298390388489,-0.6047759652137756
-0.6655048131942749,-0.618964433670044
-0.6694796681404114,-0.6305995583534241
-0.6726595163345337,-0.6403195858001709
-0.7731040120124817,-0.6484045386314392
-0.7712302803993225,-0.6795794367790222
-0.7748317718505859,-0.7024921178817749
-0.7793336510658264,-0.7205770611763
-0.7829349040985107,-0.7352662086486816
-0.8587606549263,-0.7471833825111389
-0.8636736869812012,-0.7750777006149292
-0.8676038980484009,-0.7972266674041748
-0.8705514073371887,-0.8148210048675537
-0.8744814991950989,-0.8287535905838013
-0.8784113526344299,-0.8401855826377869
-0.9930347204208374,-0.8497419953346252
-0.9974545240402222,-0.8855651617050171
-0.9996643662452698,-0.9135375022888184
-1.002979040145874,-0.93506920337677
-1.0051887035369873,-0.9520466923713684
-1.0633149147033691,-0.9653322100639343
-1.0633149147033691,-0.9898278713226318
-1.0644819736480713,-1.008199691772461
-1.0691498517990112,-1.0222702026367188
-1.0714837312698364,-1.0339901447296143
-1.3484917879104614,-1.0433635711669922
-1.3470228910446167,-1.119645595550537
-1.3499605655670166,-1.1764899492263794
-1.3528982400894165,-1.2198575735092163
-1.3573042154312134,-1.2531177997589111
-1.5573174953460693,-1.279164433479309
-1.5589995384216309,-1.3487026691436768
-1.562363624572754,-1.40127694606781
-1.562363624572754,-1.4415485858917236
-1.562363624572754,-1.471752405166626
-1.5640455484390259,-1.4944051504135132
-1.7891957759857178,-1.5118153095245361
-1.791113257408142,-1.5811604261398315
-1.7930307388305664,-1.6336486339569092
-1.7987827062606812,-1.6734942197799683
-1.8006999492645264,-1.7048163414001465
-2.0170812606811523,-1.7287871837615967
-2.0213654041290283,-1.8008607625961304
-2.0235073566436768,-1.8559869527816772
-2.0235073566436768,-1.8978670835494995
-2.0235073566436768,-1.9292771816253662
-2.4711484909057617,-1.9528347253799438
-2.473745346069336,-2.0824131965637207
-2.473745346069336,-2.180246353149414
-2.476341962814331,-2.2536211013793945
-2.473745346069336,-2.3093011379241943
-2.473745346069336,-2.350412368774414
-2.884892463684082,-2.3812456130981445
-2.884892463684082,-2.507157325744629
-2.890901565551758,-2.601591110229492
-2.8939056396484375,-2.6739187240600586
-2.8999130725860596,-2.7289154529571533
-3.1076269149780273,-2.77166485786438
-3.110826253890991,-2.8556554317474365
-3.114025354385376,-2.919448137283325
-3.1076269149780273,-2.968092441558838
-3.1076269149780273,-3.0029759407043457
-3.464747428894043,-3.0291388034820557
-3.461209535598755,-3.1380410194396973
-3.461209535598755,-3.2188329696655273
-3.461209535598755,-3.2794270515441895
